iter	Passed	Remaining
0	157	156899
1	160	80117
2	167	55520
3	172	42946
4	176	35161
5	179	29737
6	185	26340
7	189	23538
8	192	21243
9	197	19556
10	203	18286
11	207	17060
12	214	16273
13	220	15516
14	224	14719
15	230	14148
16	234	13580
17	238	12992
18	242	12507
19	249	12247
20	253	11827
21	257	11440
22	262	11142
23	267	10891
24	270	10543
25	272	10216
26	277	9986
27	282	9810
28	285	9566
29	287	9299
30	292	9149
31	297	8997
32	301	8821
33	303	8627
34	308	8505
35	314	8414
36	317	8263
37	320	8115
38	324	7991
39	330	7921
40	333	7795
41	336	7665
42	340	7577
43	344	7490
44	348	7389
45	357	7410
46	364	7391
47	368	7308
48	375	7296
49	378	7195
50	381	7096
51	383	6993
52	386	6899
53	389	6829
54	392	6744
55	394	6658
56	397	6569
57	399	6495
58	406	6480
59	409	6413
60	412	6346
61	414	6276
62	417	6209
63	420	6145
64	422	6076
65	424	6008
66	426	5944
67	429	5881
68	431	5820
69	435	5779
70	437	5720
71	439	5663
72	441	5607
73	443	5552
74	446	5503
75	449	5463
76	451	5413
77	453	5364
78	455	5315
79	457	5262
80	459	5216
81	462	5174
82	465	5148
83	469	5114
84	471	5072
85	472	5021
86	474	4981
87	476	4933
88	478	4895
89	481	4871
90	484	4836
91	487	4807
92	489	4777
93	492	4743
94	493	4700
95	496	4679
96	499	4651
97	503	4634
98	507	4616
99	509	4586
100	513	4568
101	517	4553
102	520	4532
103	522	4503
104	527	4494
105	529	4464
106	532	4445
107	535	4421
108	538	4401
109	543	4395
110	547	4386
111	551	4372
112	555	4358
113	563	4378
114	566	4361
115	569	4337
116	571	4312
117	576	4308
118	581	4301
119	583	4280
120	586	4258
121	591	4258
122	595	4247
123	599	4232
124	601	4209
125	605	4201
126	611	4201
127	614	4187
128	618	4178
129	622	4165
130	626	4158
131	629	4140
132	633	4127
133	636	4116
134	641	4113
135	644	4094
136	648	4082
137	652	4072
138	656	4066
139	660	4055
140	662	4033
141	665	4019
142	669	4011
143	672	3999
144	676	3989
145	679	3974
146	682	3959
147	683	3937
148	690	3941
149	692	3924
150	695	3910
151	702	3918
152	706	3910
153	709	3897
154	715	3898
155	720	3899
156	724	3889
157	727	3875
158	731	3871
159	737	3873
160	740	3858
161	742	3841
162	746	3833
163	752	3834
164	756	3830
165	758	3809
166	764	3815
167	769	3811
168	772	3797
169	775	3785
170	786	3811
171	791	3808
172	796	3808
173	801	3804
174	804	3792
175	807	3780
176	814	3785
177	817	3777
178	820	3764
179	825	3760
180	830	3756
181	834	3749
182	836	3736
183	843	3742
184	849	3743
185	854	3737
186	867	3769
187	870	3759
188	880	3777
189	885	3775
190	890	3773
191	894	3765
192	897	3751
193	899	3735
194	901	3720
195	904	3710
196	910	3712
197	914	3704
198	917	3692
199	924	3697
200	929	3695
201	932	3683
202	936	3675
203	946	3694
204	949	3681
205	957	3690
206	961	3682
207	964	3672
208	973	3684
209	976	3672
210	978	3659
211	980	3645
212	984	3637
213	988	3631
214	992	3623
215	995	3612
216	997	3600
217	1000	3590
218	1006	3588
219	1009	3580
220	1013	3572
221	1016	3564
222	1022	3564
223	1025	3553
224	1029	3545
225	1032	3536
226	1038	3537
227	1041	3527
228	1043	3514
229	1046	3504
230	1052	3505
231	1056	3496
232	1058	3484
233	1060	3472
234	1063	3463
235	1069	3462
236	1072	3452
237	1075	3443
238	1081	3443
239	1085	3436
240	1087	3423
241	1089	3411
242	1091	3400
243	1095	3395
244	1102	3397
245	1105	3387
246	1107	3375
247	1110	3368
248	1116	3367
249	1119	3357
250	1121	3347
251	1125	3340
252	1130	3338
